"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     
          0,           0,          76,      -9.908382817,      -10.31824566,      -10.35019066,      -10.15073687
          0,           0,          77,      -9.927866728,         -10.34213,      -10.39541879,      -10.21235455
          0,           0,          78,      -9.947360017,      -10.36619578,       -10.4433109,      -10.27344551
          0,           0,          79,      -9.966808465,      -10.38937452,       -10.4912816,       -10.3340342
          0,           0,          80,      -9.986349935,      -10.41216446,      -10.54132045,      -10.39386921
          0,           0,          81,       -10.0058185,      -10.43478167,      -10.59298992,      -10.45342413
          0,           0,          82,      -10.02530238,      -10.45647432,      -10.64333618,      -10.51215129
          0,           0,          83,      -10.04480459,      -10.47825154,      -10.69472064,      -10.57006385
          0,           0,          84,      -10.06426486,      -10.49948515,      -10.74498279,      -10.62732815
          0,           0,          85,      -10.08379995,       -10.5200451,      -10.79155065,      -10.68281337
          0,           0,          86,      -10.10328558,      -10.54088985,      -10.83762363,      -10.73731805
          0,           0,          87,      -10.12282985,      -10.56111627,      -10.88162819,      -10.78977656
          0,           0,          88,      -10.14243774,      -10.58133774,      -10.92304357,      -10.83981948
          0,           0,          89,      -10.16200961,      -10.60155961,      -10.96379522,      -10.88854562
          0,           0,          90,      -10.18171358,      -10.62138731,      -11.00346217,      -10.93360306
          0,           0,          91,      -10.20140795,      -10.64176298,      -11.04359164,      -10.97701064
          0,           0,          92,      -10.22114576,       -10.6617113,      -11.08195505,      -11.01805364
          0,           0,          93,      -10.24099056,       -10.6816152,      -11.11795342,      -11.05544554
          0,           0,          94,       -10.2607894,      -10.70190075,      -11.15506889,      -11.09246167
          0,           0,          95,      -10.28071213,      -10.72166892,      -11.18991497,      -11.12558469
          0,           0,          96,      -10.30065212,      -10.74185118,      -11.22307489,      -11.15741744
          0,           0,          97,      -10.32060726,      -10.76189652,      -11.25716726,      -11.18850375
          0,           0,          98,      -10.34069218,      -10.78174491,      -11.28839387,      -11.21560212
          0,           0,          99,      -10.36072616,      -10.80210404,      -11.31960398,      -11.24409249
          0,           0,         100,      -10.38087354,      -10.82202273,      -11.35135764,      -11.26965184
          0,           0,         101,      -10.40106848,      -10.84220251,      -11.37940286,      -11.29394075
          0,           0,         102,      -10.42124029,      -10.86246354,      -11.40798671,      -11.31957426
          0,           0,         103,      -10.44156127,      -10.88244948,      -11.43683392,      -11.34126691
          0,           0,         104,      -10.46184074,      -10.90294114,      -11.46385362,      -11.36507882
          0,           0,         105,      -10.48219713,      -10.92306674,      -11.49173099,      -11.38745659
          0,           0,         106,      -10.50263849,      -10.94334575,      -11.51808078,      -11.40807189
          0,           0,         107,      -10.52302943,      -10.96389402,      -11.54463941,      -11.43145223
          0,           0,         108,      -10.54356732,      -10.98405879,      -11.57189359,      -11.45116831
          0,           0,         109,      -10.56408347,      -11.00467943,      -11.59616323,      -11.47279344
          0,           0,         110,      -10.58463479,      -11.02507998,      -11.62134265,      -11.49445621
          0,           0,         111,          -10.6053,      -11.04549241,      -11.64648018,      -11.51353294
          0,           0,         112,      -10.62589904,      -11.06625758,      -11.66979216,       -11.5361132
          0,           0,         113,      -10.64662811,      -11.08660654,      -11.69445336,       -11.5555669
          0,           0,         114,      -10.66736515,      -11.10736278,      -11.71762489,      -11.57603027
          0,           0,         115,      -10.68809616,      -11.12803471,      -11.74055004,      -11.59790358
          0,           0,         116,      -10.70896214,       -11.1485782,      -11.76472903,      -11.61647583
