"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          75,      -6.221413854,      -2.936280668,      -3.655219546,     -0.7299895573
          0,           0,          76,      -6.127632746,       -2.94395775,      -3.641606651,     -0.6376161684
          0,           0,          77,       -6.39249447,      -2.944111366,      -3.782542758,     -0.8977132492
          0,           0,          78,      -6.308303286,      -2.945343435,      -3.712869635,     -0.8145692265
          0,           0,          79,      -6.246256748,      -2.949328454,      -3.686425431,     -0.7533921431
          0,           0,          80,      -6.132917658,      -2.956845801,       -3.65108333,     -0.6427881586
          0,           0,          81,      -6.418950858,      -2.956977129,      -3.818125422,     -0.9213492169
          0,           0,          82,      -6.338162394,      -2.958150902,      -3.747981443,     -0.8422190465
          0,           0,          83,      -6.258103324,      -2.962128332,      -3.702860208,     -0.7649683757
          0,           0,          84,      -6.263004811,      -2.965689247,      -3.711327842,     -0.7700272646
          0,           0,          85,      -6.278249725,       -2.96902044,      -3.726543904,     -0.7842148212
          0,           0,          86,       -6.29162723,      -2.972371155,      -3.740341523,     -0.7967130829
          0,           0,          87,      -6.161895472,      -2.979507984,      -3.677969942,     -0.6709307178
          0,           0,          88,      -6.474155843,        -2.9794971,      -3.876303156,      -0.971345617
          0,           0,          89,      -6.403934188,      -2.980657111,      -3.818238606,     -0.9027773837
          0,           0,          90,      -6.327203404,       -2.98454219,      -3.779062776,     -0.8295828248
          0,           0,          91,      -6.180478001,      -2.991681808,      -3.699497215,     -0.6889496018
          0,           0,          92,      -6.494470807,      -2.991615118,      -3.906328194,     -0.9897724128
          0,           0,          93,      -6.432298839,      -2.992725927,      -3.852679717,      -0.928628417
          0,           0,          94,      -6.361219679,      -2.996600294,       -3.81712104,     -0.8613791987
          0,           0,          95,      -6.221173199,      -3.003682316,      -3.754083277,     -0.7279634145
          0,           0,          96,      -6.534668742,      -3.003605835,      -3.943609901,      -1.027086136
          0,           0,          97,      -6.467837882,      -3.004631678,      -3.889226805,      -0.961176361
          0,           0,          98,      -6.414966332,       -3.00843286,      -3.879481798,       -0.91054112
          0,           0,          99,      -6.272118572,      -3.015445745,      -3.835065711,     -0.7760982018
          0,           0,         100,      -6.581943734,       -3.01531703,      -3.993047997,      -1.068781628
          0,           0,         101,       -6.50362498,       -3.01631878,      -3.928561737,     -0.9933915733
          0,           0,         102,      -6.444319978,      -3.020075511,      -3.918802335,     -0.9375435006
          0,           0,         103,      -6.280590134,      -3.027012736,      -3.847214051,      -0.784781326
          0,           0,         104,      -6.606654219,      -3.026862265,       -4.02537591,      -1.090654551
          0,           0,         105,      -6.527196043,      -3.027825609,      -3.957249069,      -1.014831303
          0,           0,         106,      -6.447335231,      -3.031565625,      -3.923268551,     -0.9416053718
          0,           0,         107,      -6.265865112,      -3.038416375,      -3.814104213,      -0.772059814
          0,           0,         108,      -6.624542432,      -3.038226223,      -4.046713543,      -1.106874646
          0,           0,         109,      -6.557846741,      -3.039162709,      -3.992269965,      -1.042093979
          0,           0,         110,       -6.46619082,      -3.042900731,      -3.947053903,     -0.9596001826
          0,           0,         111,      -6.267458476,       -3.04967939,        -3.8090849,     -0.7744797067
          0,           0,         112,      -6.639090358,      -3.049414391,      -4.069033171,      -1.119903533
          0,           0,         113,      -6.583553952,      -3.050358219,      -4.023165887,      -1.064917804
          0,           0,         114,      -6.486268705,       -3.05410902,      -3.971431015,     -0.9787566967
          0,           0,         115,      -6.285960967,      -3.060850952,      -3.831019315,     -0.7928852677
          0,           0,         116,      -6.652836901,      -3.060530712,       -4.08753609,      -1.133286923
          0,           0,         117,      -6.597782276,      -3.061453795,      -4.040141421,       -1.07853878
          0,           0,         118,      -6.515213058,       -3.06520254,      -4.005137303,      -1.005814569
