"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          75,      -4.419664246,      -2.726022512,      -3.116224169,    -0.03420868815
          0,           0,          76,      -4.425040459,      -2.726764831,      -3.148371126,     -0.2555229089
          0,           0,          77,      -4.433572533,      -2.736754105,      -3.145063821,    -0.05867441841
          0,           0,          78,      -4.438504711,      -2.737420966,      -3.173102018,     -0.2761067787
          0,           0,          79,      -4.446943094,      -2.747129363,      -3.169941493,    -0.08061565714
          0,           0,          80,       -4.45150705,      -2.747730951,      -3.197587547,      -0.296705435
          0,           0,          81,      -4.459828614,      -2.757195872,      -3.197253101,     -0.1032912379
          0,           0,          82,      -4.464026924,       -2.75775259,      -3.223011113,     -0.3178741655
          0,           0,          83,      -4.472213165,      -2.766981163,      -3.224167497,     -0.1252336742
          0,           0,          84,      -4.476083702,      -2.767499455,      -3.248008475,     -0.3383424953
          0,           0,          85,      -4.484140032,      -2.776479228,       -3.25007226,     -0.1462781369
          0,           0,          86,      -4.487720333,      -2.776962353,      -3.272126027,     -0.3578696996
          0,           0,          87,      -4.495644164,      -2.785692723,      -3.274217788,     -0.1663258782
          0,           0,          88,      -4.498961572,      -2.786146935,      -3.294490637,     -0.3759146934
          0,           0,          89,      -4.506747779,      -2.794632014,      -3.295302465,     -0.1850360969
          0,           0,          90,      -4.509829538,      -2.795061406,      -3.314650407,     -0.3922344052
          0,           0,          91,      -4.517478692,      -2.803305764,      -3.313403078,     -0.2024682442
          0,           0,          92,      -4.520349769,      -2.803714805,      -3.333302584,     -0.4073992522
          0,           0,          93,      -4.527865414,      -2.811729965,      -3.330304482,     -0.2192067724
          0,           0,          94,      -4.530545748,      -2.812123953,      -3.351873082,     -0.4225260291
          0,           0,          95,      -4.537933255,      -2.819926144,      -3.348253907,     -0.2360296685
          0,           0,          96,       -4.54043733,      -2.820308593,      -3.371443859,     -0.4384851921
          0,           0,          97,      -4.547702738,      -2.827914152,      -3.368352876,     -0.2533584552
          0,           0,          98,      -4.550041118,      -2.828284962,      -3.392051438,     -0.4553286129
          0,           0,          99,      -4.557189494,      -2.835707281,      -3.390180042,     -0.2711135383
          0,           0,         100,      -4.559371245,      -2.836063278,      -3.412842356,      -0.472396407
          0,           0,         101,      -4.566406082,      -2.843312533,      -3.412323949,     -0.2888354447
          0,           0,         102,      -4.568440418,      -2.843650224,      -3.432865454,     -0.4889547492
          0,           0,         103,      -4.575364848,      -2.850733794,      -3.433431954,     -0.3060222403
          0,           0,         104,      -4.577261497,      -2.851052832,       -3.45193704,      -0.504748698
          0,           0,         105,      -4.584078313,      -2.857976818,      -3.453276688,     -0.3225126464
          0,           0,         106,      -4.585847996,      -2.858279699,      -3.470436917,     -0.5199536452
          0,           0,         107,      -4.592559545,      -2.865049511,      -3.472537935,     -0.3385082802
          0,           0,         108,      -4.594212949,      -2.865340096,       -3.48887257,     -0.5349354868
          0,           0,         109,      -4.600820445,      -2.871960874,      -3.491727144,     -0.3541984059
          0,           0,         110,      -4.602367806,      -2.872242352,      -3.507331925,     -0.5498175354
          0,           0,         111,      -4.608872437,      -2.878718735,      -3.510541614,     -0.3695257299
          0,           0,         112,       -4.61032289,      -2.878992954,      -3.525315308,     -0.5643163802
          0,           0,         113,      -4.616725256,      -2.885330419,      -3.528088189,     -0.3842644235
          0,           0,         114,      -4.618087834,      -2.885598063,      -3.542195389,     -0.5780321507
          0,           0,         115,      -4.624388585,      -2.891802769,      -3.543895087,     -0.3983045518
          0,           0,         116,      -4.625671763,      -2.892064742,      -3.557950985,      -0.590947637
          0,           0,         117,      -4.631872985,      -2.898143321,       -3.55855498,      -0.411812112
          0,           0,         118,      -4.633083639,      -2.898401177,      -3.573328621,     -0.6035084332
          0,           0,         119,      -4.639188807,       -2.90436095,      -3.573504788,     -0.4251711818
          0,           0,         120,      -4.640331903,       -2.90461616,      -3.589301356,     -0.6163361082
          0,           0,         121,      -4.646345447,      -2.910464013,      -3.590021434,     -0.4387489357
          0,           0,         122,      -4.647423795,      -2.910717403,      -3.606357205,     -0.6297806088
          0,           0,         123,      -4.653350192,      -2.916459026,      -3.608366728,      -0.452653035
          0,           0,         124,      -4.654365293,      -2.916710282,      -3.624161731,     -0.6436644235
          0,           0,         125,      -4.660207877,      -2.922350442,      -3.627766701,      -0.466710734
          0,           0,         126,      -4.661161474,      -2.922598022,      -3.641837176,     -0.6574353344
          0,           0,         127,      -4.666923205,      -2.928140327,      -3.646889206,     -0.4805539392
          0,           0,         128,      -4.667817451,      -2.928383112,      -3.658691499,     -0.6706570862
          0,           0,         129,      -4.673500725,      -2.933830453,      -3.664789342,     -0.4938977409
          0,           0,         130,      -4.674338649,      -2.934068368,      -3.674688153,     -0.6832275965
          0,           0,         131,      -4.679945518,       -2.93942307,       -3.68150118,     -0.5067170235
          0,           0,         132,      -4.680730989,      -2.939656741,      -3.690171636,     -0.6953231631
          0,           0,         133,      -4.686262875,      -2.944920803,      -3.697608388,     -0.5191732432
          0,           0,         134,      -4.687000124,      -2.945150929,      -3.705516536,     -0.7071903034
          0,           0,         135,      -4.692458105,      -2.950326154,      -3.713467192,     -0.5313772414
          0,           0,         136,      -4.693151231,      -2.950552962,      -3.720826245,     -0.7189330282
          0,           0,         137,      -4.698536553,      -2.955641202,        -3.7289557,     -0.5433198322
          0,           0,         138,      -4.699189192,      -2.955864457,      -3.735871054,     -0.7304506555
          0,           0,         139,      -4.704502461,       -2.96086875,      -3.743761559,     -0.5549492474
          0,           0,         140,      -4.705118368,      -2.961087843,      -3.750419761,     -0.7416046597
          0,           0,         141,      -4.710360452,      -2.966011417,      -3.757985372,     -0.5663038021
          0,           0,         142,      -4.710942978,      -2.966226007,       -3.76466675,     -0.7524913087
          0,           0,         143,      -4.716115465,      -2.971072151,      -3.772340295,     -0.5775382492
          0,           0,         144,      -4.716666982,      -2.971282364,      -3.779207475,     -0.7633984732
          0,           0,         145,      -4.721772241,       -2.97605426,      -3.787783612,      -0.588841732
          0,           0,         146,      -4.722293989,      -2.976260467,      -3.794551215,     -0.7745921633
          0,           0,         147,      -4.727334964,      -2.980960778,      -3.804805076,      -0.600308982
          0,           0,         148,       -4.72782714,       -2.98116337,      -3.810711491,      -0.786099462
